id,category,label,notice
260,C,Regulatory Compliance,"CONSUMER PROTECTION COMPLIANCE NOTICE TO: Horizon Capital Partners FROM: Securities Enforcement Division DATE: April 7, 2025 Following a review of consumer complaints received between Q1 2023, Securities Enforcement Division has determined that Horizon Capital Partners's marketing practices constitute violations of the General Data Protection Regulation (GDPR). Specifically, Horizon Capital Partners has engaged in misleading pricing representations and failed to honor statutory refund rights. You are directed to revise all non-compliant advertising materials and implement a compliant refund process within 30 days. Full compliance reports must be submitted to this office. Failure to comply will result in public enforcement action, mandatory consumer redress, and fines of up to $350,000."
261,C,Regulatory Compliance,"CONSUMER PROTECTION COMPLIANCE NOTICE TO: Meridian Manufacturing Co. FROM: Health & Safety Enforcement Agency DATE: May 22, 2024 Following a review of consumer complaints received between Q3 2023, Health & Safety Enforcement Agency has determined that Meridian Manufacturing Co.'s marketing practices constitute violations of the Food Safety Modernization Act (FSMA). Specifically, Meridian Manufacturing Co. has engaged in misleading pricing representations and failed to honor statutory refund rights. You are directed to revise all non-compliant advertising materials and implement a compliant refund process within 14 days. Full compliance reports must be submitted to this office. Failure to comply will result in public enforcement action, mandatory consumer redress, and fines of up to $350,000."
262,B,Intellectual Property Claim,"NOTICE OF PATENT LICENSING OBLIGATION TO: LifeScience Ventures Corp. FROM: BioMed IP Group DATE: March 25, 2025 BioMed IP Group holds an essential patent portfolio covering standards implemented in LifeScience Ventures Corp.'s product 'NeuralEdge SDK'. As a participant in the IEEE 802.11ax standard, BioMed IP Group has committed to licensing these patents on FRAND (Fair, Reasonable, and Non-Discriminatory) terms. LifeScience Ventures Corp.'s commercial deployment of technology implementing this standard without obtaining a license from BioMed IP Group constitutes patent infringement. BioMed IP Group invites LifeScience Ventures Corp. to enter into good-faith licensing negotiations within 7 days. Failure to respond will be taken as a refusal to negotiate in good faith, and BioMed IP Group will pursue all appropriate legal and regulatory remedies."
263,B,Intellectual Property Claim,"DOMAIN NAME DISPUTE NOTICE TO: Pixel Factory Ltd. FROM: DesignEdge Studio DATE: March 3, 2024 DesignEdge Studio is the owner of the federally registered trademark 'STREAMLINE' and the domain name novex.com. Pixel Factory Ltd. has registered and is using the domain 'ProSuite Enterprise v4.0', which is confusingly similar to DesignEdge Studio's trademark and domain. This constitutes cybersquatting under the Anti-Cybersquatting Consumer Protection Act (15 U.S.C. § 1125(d)). DesignEdge Studio demands immediate transfer of the disputed domain to DesignEdge Studio without compensation. If voluntary transfer is not confirmed within 14 days, DesignEdge Studio will initiate proceedings under ICANN's Uniform Domain Name Dispute Resolution Policy (UDRP) and seek all available legal remedies."
264,B,Intellectual Property Claim,"NOTICE OF TRADE SECRET MISAPPROPRIATION TO: DevStack Innovations FROM: CodePatent Partners DATE: October 14, 2024 CodePatent Partners hereby provides notice that DevStack Innovations has misappropriated trade secrets belonging to CodePatent Partners in violation of the Defend Trade Secrets Act (18 U.S.C. § 1836). The misappropriated information includes proprietary algorithms, manufacturing processes, and customer data compiled over 7 years of investment. This information was wrongfully acquired through a former CodePatent Partners employee now working at DevStack Innovations. CodePatent Partners demands an immediate halt to any use of such information, preservation of all relevant records, and a written response within 14 days, failing which an application for emergency injunctive relief will be filed."
265,B,Intellectual Property Claim,"COPYRIGHT INFRINGEMENT NOTICE TO: Digital Audio Networks FROM: SoundMark Entertainment DATE: September 5, 2024 This notice is to inform Digital Audio Networks that certain content published on its platform constitutes infringement of copyrighted works owned by SoundMark Entertainment, registered under U.S. Copyright Registration No. TXU-1434. The infringing material, identified as 'VisionAI Toolkit', reproduces substantial portions of SoundMark Entertainment's protected work without authorization. Pursuant to 17 U.S.C. § 512, SoundMark Entertainment demands immediate removal of the infringing content. SoundMark Entertainment reserves the right to seek statutory damages of up to $25,000 per work infringed, plus attorney's fees, if prompt corrective action is not taken within 10 business days."
266,B,Intellectual Property Claim,"DOMAIN NAME DISPUTE NOTICE TO: Digital Audio Networks FROM: SoundMark Entertainment DATE: August 19, 2024 SoundMark Entertainment is the owner of the federally registered trademark 'CLOUDPEAK' and the domain name novex.com. Digital Audio Networks has registered and is using the domain 'ProSuite Enterprise v4.0', which is confusingly similar to SoundMark Entertainment's trademark and domain. This constitutes cybersquatting under the Anti-Cybersquatting Consumer Protection Act (15 U.S.C. § 1125(d)). SoundMark Entertainment demands immediate transfer of the disputed domain to SoundMark Entertainment without compensation. If voluntary transfer is not confirmed within 10 days, SoundMark Entertainment will initiate proceedings under ICANN's Uniform Domain Name Dispute Resolution Policy (UDRP) and seek all available legal remedies."
267,B,Intellectual Property Claim,"NOTICE OF TRADE SECRET MISAPPROPRIATION TO: ContentStream Media FROM: Artisan Copyright Trust DATE: April 7, 2025 Artisan Copyright Trust hereby provides notice that ContentStream Media has misappropriated trade secrets belonging to Artisan Copyright Trust in violation of the Defend Trade Secrets Act (18 U.S.C. § 1836). The misappropriated information includes proprietary algorithms, manufacturing processes, and customer data compiled over 6 years of investment. This information was wrongfully acquired through a former Artisan Copyright Trust employee now working at ContentStream Media. Artisan Copyright Trust demands an immediate halt to any use of such information, preservation of all relevant records, and a written response within 21 days, failing which an application for emergency injunctive relief will be filed."
268,C,Regulatory Compliance,"TELECOMMUNICATIONS LICENCE COMPLIANCE NOTICE TO: TechVault Analytics Ltd. FROM: Data Protection Commissioner DATE: January 9, 2025 Data Protection Commissioner writes to advise that TechVault Analytics Ltd.'s network operations are in breach of Licence Condition 3.4 of its telecommunications operating licence, granted under the Financial Industry Regulatory Authority (FINRA) Rule 4370. Specifically, TechVault Analytics Ltd. has failed to meet mandatory service availability targets for 300 consecutive months and has not implemented required network redundancy measures. TechVault Analytics Ltd. must submit a detailed remediation plan and timeline within 30 days. Continued breach beyond that date will result in formal enforcement proceedings, including imposition of financial penalties calculated at 10% of relevant turnover, up to a maximum of $75,000."
269,C,Regulatory Compliance,"FOOD SAFETY COMPLIANCE ENFORCEMENT NOTICE TO: StreamLine Networks Ltd. FROM: Telecommunications Regulatory Office DATE: March 25, 2025 An inspection of StreamLine Networks Ltd.'s food processing facility conducted on January 15, 2022 identified critical violations of the Clean Air Act, 42 U.S.C. § 7401 et seq., including improper temperature control, inadequate pest management, and failure to maintain required sanitation logs. These conditions present an imminent public health hazard. StreamLine Networks Ltd. is directed to immediately suspend production, remediate all identified deficiencies, and submit documentary evidence of compliance within 7 days. A re-inspection will follow. Non-compliance will result in mandatory facility closure, product seizure, and imposition of fines of $1,000,000 per violation per day."
270,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: May 22, 2024 This notice is to formally advise that Coastal Logistics Partners has materially breached the Service Agreement dated May 5, 2023 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 60 days have elapsed beyond the delivery deadline stipulated in Section 7.1. Meridian Freight Services hereby demands full performance or written remediation plan within 7 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $350,000."
271,A,Contract Dispute,"DISPUTE NOTICE — SCOPE OF WORK TO: Arbor Investment Holdings FROM: Keystone Financial Services DATE: April 7, 2025 Keystone Financial Services hereby provides formal notice of a dispute regarding the scope of work under the Professional Services Contract dated March 1, 2022. Specifically, Arbor Investment Holdings has unilaterally performed services outside the agreed Statement of Work (Exhibit A), resulting in unauthorized charges of $100,000. Pursuant to Section 2.9 of the agreement, Keystone Financial Services disputes these charges and requests a written justification within 7 days. If the parties cannot resolve this dispute amicably, the matter will be referred to mediation as specified in the contract."
272,A,Contract Dispute,"NOTICE OF MATERIAL MISREPRESENTATION TO: Harmon & Associates Ltd. FROM: SilverBridge Capital LLC DATE: January 9, 2025 This notice is issued pursuant to the Vendor Agreement dated January 15, 2022. SilverBridge Capital LLC has discovered that representations made by Harmon & Associates Ltd. in Schedule B of the agreement were materially false and misleading. Specifically, Harmon & Associates Ltd. falsely represented its technical certifications and compliance credentials. This misrepresentation induced SilverBridge Capital LLC into the contract and has caused direct damages of $200,000. SilverBridge Capital LLC demands rescission of the agreement and full restitution within 21 calendar days, failing which legal proceedings will be commenced without further notice."
273,C,Regulatory Compliance,"FINANCIAL REPORTING NON-COMPLIANCE NOTICE TO: Global Payment Solutions FROM: Anti-Money Laundering Authority DATE: February 18, 2025 Anti-Money Laundering Authority has determined that Global Payment Solutions has failed to file its quarterly financial disclosure reports as required under Section 3.4 of the Financial Industry Regulatory Authority (FINRA) Rule 4370. Reports for the periods ending Q1 2023 remain outstanding as of this date. This constitutes a violation of mandatory reporting obligations. Global Payment Solutions is directed to file all outstanding reports within 30 business days. A late filing fee of $15,000 per report will be assessed. Continued non-compliance will result in suspension of Global Payment Solutions's operating license and referral for criminal investigation under applicable statutes."
274,C,Regulatory Compliance,"FINANCIAL REPORTING NON-COMPLIANCE NOTICE TO: TechVault Analytics Ltd. FROM: Data Protection Commissioner DATE: March 25, 2025 Data Protection Commissioner has determined that TechVault Analytics Ltd. has failed to file its quarterly financial disclosure reports as required under Section 6.8 of the Food Safety Modernization Act (FSMA). Reports for the periods ending Q1 2024 remain outstanding as of this date. This constitutes a violation of mandatory reporting obligations. TechVault Analytics Ltd. is directed to file all outstanding reports within 30 business days. A late filing fee of $500,000 per report will be assessed. Continued non-compliance will result in suspension of TechVault Analytics Ltd.'s operating license and referral for criminal investigation under applicable statutes."
275,A,Contract Dispute,"NOTICE OF CONTRACT TERMINATION FOR CAUSE TO: Pinnacle Construction Ltd. FROM: TerraForm Engineering DATE: August 19, 2024 This notice serves to inform Pinnacle Construction Ltd. that TerraForm Engineering is exercising its right to terminate the Distribution Agreement dated September 12, 2022 for cause, pursuant to Section 2.9. The grounds for termination include repeated failure to meet minimum purchase commitments and unauthorized sub-distribution to third parties. TerraForm Engineering demands return of all proprietary materials within 14 days and full accounting of sales records for the period Q4 2023. All outstanding payments of $350,000 remain due and payable immediately."
276,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: August 19, 2024 This notice is issued to Sunstone Development LLC regarding a breach of the exclusivity provisions in the Licensing Agreement dated December 15, 2023. Section 7.1 of that agreement grants Greenfield Realty Partners the exclusive right to distribute Sunstone Development LLC's products within the the European Union region. Greenfield Realty Partners has evidence that Sunstone Development LLC has directly supplied products to Greenfield Realty Partners's clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. Greenfield Realty Partners demands immediate cessation and compensation for lost revenues estimated at $150,000, with a response required within 21 business days."
277,A,Contract Dispute,"DISPUTE NOTICE — SCOPE OF WORK TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: March 25, 2025 Greenfield Realty Partners hereby provides formal notice of a dispute regarding the scope of work under the Professional Services Contract dated August 20, 2023. Specifically, Sunstone Development LLC has unilaterally performed services outside the agreed Statement of Work (Exhibit A), resulting in unauthorized charges of $150,000. Pursuant to Section 2.9 of the agreement, Greenfield Realty Partners disputes these charges and requests a written justification within 30 days. If the parties cannot resolve this dispute amicably, the matter will be referred to mediation as specified in the contract."
278,B,Intellectual Property Claim,"NOTICE OF PATENT INFRINGEMENT TO: SynthLab Solutions FROM: Quantum IP Holdings DATE: December 2, 2024 Quantum IP Holdings is the owner of U.S. Patent No. US 8,364,056, entitled 'Natural Language Processing Pipeline', duly registered and in full force. It has come to Quantum IP Holdings's attention that SynthLab Solutions's product 'NeuralEdge SDK' directly infringes one or more claims of this patent, specifically Claims 5-8. Quantum IP Holdings demands that SynthLab Solutions immediately cease all manufacture, sale, and distribution of the infringing product and provide a written response within 7 days confirming compliance. Failure to do so will result in legal proceedings seeking injunctive relief and damages, including lost profits and reasonable royalties."
279,C,Regulatory Compliance,"WORKPLACE SAFETY ENFORCEMENT NOTICE TO: Global Payment Solutions FROM: Anti-Money Laundering Authority DATE: September 5, 2024 An unannounced workplace inspection conducted on November 1, 2022 identified serious violations of the Food Safety Modernization Act (FSMA) at Global Payment Solutions's premises. Hazards identified include inadequate machine guarding, absence of required safety signage, and failure to maintain mandatory incident logs. These violations present an imminent risk to worker safety. Global Payment Solutions is directed to cease the affected operations immediately and submit a corrective action plan within 21 days. Penalties of up to $75,000 per violation will apply. A follow-up inspection will be conducted within 21 days to verify compliance."
280,B,Intellectual Property Claim,"TRADEMARK INFRINGEMENT AND PASSING-OFF NOTICE TO: ContentStream Media FROM: Artisan Copyright Trust DATE: July 8, 2024 Artisan Copyright Trust is the registered owner of the trademark 'DATATRUST' (Registration No. TXU-1434), covering goods and services in Class 9. ContentStream Media has been using a confusingly similar mark 'NeuralEdge SDK' in commerce, likely to cause consumer confusion and dilute Artisan Copyright Trust's brand. This use constitutes trademark infringement under 15 U.S.C. § 1114 and passing-off under common law. Artisan Copyright Trust demands immediate discontinuation of all use of the infringing mark, withdrawal of all related marketing materials, and a written response within 14 days. Legal action will follow without further notice if these demands are not met."
281,A,Contract Dispute,"NOTICE OF WARRANTY BREACH TO: Pinnacle Construction Ltd. FROM: TerraForm Engineering DATE: January 9, 2025 TerraForm Engineering hereby notifies Pinnacle Construction Ltd. of a warranty breach under the Equipment Supply Agreement dated December 15, 2023. The equipment delivered under Purchase Order #67807 has failed to perform to the specifications warranted in Section 9.3, exhibiting critical operational defects. Despite 10 days' notice provided on May 5, 2023, Pinnacle Construction Ltd. has failed to repair or replace the defective units. TerraForm Engineering now demands full replacement of all defective equipment or a refund of $15,000, and reserves all rights to consequential damages arising from production losses."
282,A,Contract Dispute,"NOTICE OF NON-COMPETE VIOLATION TO: Orion Dynamics Inc. FROM: Vertex Solutions LLC DATE: May 16, 2025 Pursuant to Section 2.9 of the Employment and Consulting Agreement dated June 30, 2022, this notice serves to advise Orion Dynamics Inc. of a clear violation of the non-compete and non-solicitation provisions. Orion Dynamics Inc. has engaged in directly competitive business activities and solicited Vertex Solutions LLC's clients within the restricted period and geography. Vertex Solutions LLC demands immediate cessation of all such activities. Continued violations will result in an application for injunctive relief and a claim for liquidated damages as specified in the agreement, estimated at $75,000."
283,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: LifeScience Ventures Corp. FROM: BioMed IP Group DATE: March 3, 2024 BioMed IP Group develops and owns the software 'SmartOps Dashboard', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that LifeScience Ventures Corp. has deployed BioMed IP Group's software on 1200 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused BioMed IP Group revenue losses of $50,000. LifeScience Ventures Corp. is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 14 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement."
284,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Pinnacle Construction Ltd. FROM: TerraForm Engineering DATE: January 9, 2025 This notice is to formally advise that Pinnacle Construction Ltd. has materially breached the Service Agreement dated November 1, 2022 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 45 days have elapsed beyond the delivery deadline stipulated in Section 9.3. TerraForm Engineering hereby demands full performance or written remediation plan within 30 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $1,000,000."
285,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Arbor Investment Holdings FROM: Keystone Financial Services DATE: February 18, 2025 This notice is to formally advise that Arbor Investment Holdings has materially breached the Service Agreement dated May 5, 2023 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 60 days have elapsed beyond the delivery deadline stipulated in Section 9.3. Keystone Financial Services hereby demands full performance or written remediation plan within 10 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $500,000."
286,C,Regulatory Compliance,"WORKPLACE SAFETY ENFORCEMENT NOTICE TO: Premier Food Processing Corp. FROM: Food Safety Regulatory Board DATE: April 15, 2024 An unannounced workplace inspection conducted on February 14, 2023 identified serious violations of the Occupational Safety and Health Act (OSHA) at Premier Food Processing Corp.'s premises. Hazards identified include inadequate machine guarding, absence of required safety signage, and failure to maintain mandatory incident logs. These violations present an imminent risk to worker safety. Premier Food Processing Corp. is directed to cease the affected operations immediately and submit a corrective action plan within 21 days. Penalties of up to $500,000 per violation will apply. A follow-up inspection will be conducted within 21 days to verify compliance."
287,C,Regulatory Compliance,"NOTICE OF REGULATORY VIOLATION TO: Pinnacle Lending Solutions Inc. FROM: Office of Financial Regulation DATE: October 14, 2024 Following an inspection conducted on August 20, 2023, Office of Financial Regulation has determined that Pinnacle Lending Solutions Inc. is in violation of Section 11.2 of the Electronic Communications Code 2017. Specifically, Pinnacle Lending Solutions Inc. has failed to maintain adequate records of customer transactions as mandated by applicable regulations. You are hereby directed to implement all required remediation measures within 10 calendar days of this notice. Failure to comply will result in the imposition of civil penalties of up to $15,000 per day of continued non-compliance. A written remediation plan must be submitted to this office by within 15 business days."
288,B,Intellectual Property Claim,"NOTICE OF PATENT LICENSING OBLIGATION TO: OpenSource Dynamics Ltd. FROM: InnovateTech IP DATE: April 7, 2025 InnovateTech IP holds an essential patent portfolio covering standards implemented in OpenSource Dynamics Ltd.'s product 'LinkBridge System'. As a participant in the IEEE 802.11ax standard, InnovateTech IP has committed to licensing these patents on FRAND (Fair, Reasonable, and Non-Discriminatory) terms. OpenSource Dynamics Ltd.'s commercial deployment of technology implementing this standard without obtaining a license from InnovateTech IP constitutes patent infringement. InnovateTech IP invites OpenSource Dynamics Ltd. to enter into good-faith licensing negotiations within 21 days. Failure to respond will be taken as a refusal to negotiate in good faith, and InnovateTech IP will pursue all appropriate legal and regulatory remedies."
289,B,Intellectual Property Claim,"DESIGN PATENT INFRINGEMENT NOTICE TO: LifeScience Ventures Corp. FROM: BioMed IP Group DATE: April 7, 2025 This notice is to advise that LifeScience Ventures Corp.'s product 'AutoScale Engine' infringes BioMed IP Group's registered design patent No. US 9,738,597, which protects the ornamental design of BioMed IP Group's Secure Multi-Party Computation Protocol. An ordinary observer comparing both products would find the designs substantially identical. BioMed IP Group demands that LifeScience Ventures Corp. immediately cease manufacturing and selling the infringing product, destroy all existing inventory, and provide sales records for the period Q2 2024 to facilitate calculation of damages. Unless written confirmation of compliance is received within 30 days, BioMed IP Group will initiate litigation seeking disgorgement of all profits."
290,C,Regulatory Compliance,"WORKPLACE SAFETY ENFORCEMENT NOTICE TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: April 15, 2024 An unannounced workplace inspection conducted on March 1, 2022 identified serious violations of the California Consumer Privacy Act (CCPA) at FastBuy E-Commerce Ltd.'s premises. Hazards identified include inadequate machine guarding, absence of required safety signage, and failure to maintain mandatory incident logs. These violations present an imminent risk to worker safety. FastBuy E-Commerce Ltd. is directed to cease the affected operations immediately and submit a corrective action plan within 30 days. Penalties of up to $100,000 per violation will apply. A follow-up inspection will be conducted within 21 days to verify compliance."
291,B,Intellectual Property Claim,"DOMAIN NAME DISPUTE NOTICE TO: OpenSource Dynamics Ltd. FROM: InnovateTech IP DATE: April 7, 2025 InnovateTech IP is the owner of the federally registered trademark 'NOVEX' and the domain name novex.com. OpenSource Dynamics Ltd. has registered and is using the domain 'VisionAI Toolkit', which is confusingly similar to InnovateTech IP's trademark and domain. This constitutes cybersquatting under the Anti-Cybersquatting Consumer Protection Act (15 U.S.C. § 1125(d)). InnovateTech IP demands immediate transfer of the disputed domain to InnovateTech IP without compensation. If voluntary transfer is not confirmed within 7 days, InnovateTech IP will initiate proceedings under ICANN's Uniform Domain Name Dispute Resolution Policy (UDRP) and seek all available legal remedies."
292,A,Contract Dispute,"DISPUTE NOTICE — SCOPE OF WORK TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: September 5, 2024 Meridian Freight Services hereby provides formal notice of a dispute regarding the scope of work under the Professional Services Contract dated August 20, 2023. Specifically, Coastal Logistics Partners has unilaterally performed services outside the agreed Statement of Work (Exhibit A), resulting in unauthorized charges of $50,000. Pursuant to Section 11.2 of the agreement, Meridian Freight Services disputes these charges and requests a written justification within 10 days. If the parties cannot resolve this dispute amicably, the matter will be referred to mediation as specified in the contract."
293,B,Intellectual Property Claim,"NOTICE OF PATENT INFRINGEMENT TO: LifeScience Ventures Corp. FROM: BioMed IP Group DATE: April 15, 2024 BioMed IP Group is the owner of U.S. Patent No. US 9,962,544, entitled 'Natural Language Processing Pipeline', duly registered and in full force. It has come to BioMed IP Group's attention that LifeScience Ventures Corp.'s product 'SmartOps Dashboard' directly infringes one or more claims of this patent, specifically Claims 5-8. BioMed IP Group demands that LifeScience Ventures Corp. immediately cease all manufacture, sale, and distribution of the infringing product and provide a written response within 30 days confirming compliance. Failure to do so will result in legal proceedings seeking injunctive relief and damages, including lost profits and reasonable royalties."
294,C,Regulatory Compliance,"ANTI-MONEY LAUNDERING COMPLIANCE DIRECTIVE TO: Premier Food Processing Corp. FROM: Food Safety Regulatory Board DATE: August 19, 2024 Pursuant to the Food Safety Modernization Act (FSMA), Food Safety Regulatory Board has identified significant deficiencies in Premier Food Processing Corp.'s anti-money laundering (AML) controls. An audit conducted on February 14, 2023 found that Premier Food Processing Corp. failed to conduct adequate customer due diligence on 300 high-risk accounts and did not file required Suspicious Activity Reports (SARs). These deficiencies constitute serious regulatory violations. Premier Food Processing Corp. must implement enhanced AML procedures and submit a remediation plan within 14 days. Failure to remediate will result in regulatory sanctions, including fines of up to $350,000 and potential license revocation."
295,C,Regulatory Compliance,"WORKPLACE SAFETY ENFORCEMENT NOTICE TO: Premier Food Processing Corp. FROM: Food Safety Regulatory Board DATE: August 19, 2024 An unannounced workplace inspection conducted on October 1, 2023 identified serious violations of the Food Safety Modernization Act (FSMA) at Premier Food Processing Corp.'s premises. Hazards identified include inadequate machine guarding, absence of required safety signage, and failure to maintain mandatory incident logs. These violations present an imminent risk to worker safety. Premier Food Processing Corp. is directed to cease the affected operations immediately and submit a corrective action plan within 7 days. Penalties of up to $100,000 per violation will apply. A follow-up inspection will be conducted within 45 days to verify compliance."
296,C,Regulatory Compliance,"WORKPLACE SAFETY ENFORCEMENT NOTICE TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: May 22, 2024 An unannounced workplace inspection conducted on March 1, 2022 identified serious violations of the Clean Air Act, 42 U.S.C. § 7401 et seq. at FastBuy E-Commerce Ltd.'s premises. Hazards identified include inadequate machine guarding, absence of required safety signage, and failure to maintain mandatory incident logs. These violations present an imminent risk to worker safety. FastBuy E-Commerce Ltd. is directed to cease the affected operations immediately and submit a corrective action plan within 30 days. Penalties of up to $75,000 per violation will apply. A follow-up inspection will be conducted within 21 days to verify compliance."
297,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Radiant Broadcasting Corp. FROM: Luminary Media Group DATE: February 18, 2025 This notice is to formally advise that Radiant Broadcasting Corp. has materially breached the Service Agreement dated September 12, 2022 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 120 days have elapsed beyond the delivery deadline stipulated in Section 3.4. Luminary Media Group hereby demands full performance or written remediation plan within 7 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $200,000."
298,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: Digital Audio Networks FROM: SoundMark Entertainment DATE: August 19, 2024 SoundMark Entertainment develops and owns the software 'FlowTrack Manager', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that Digital Audio Networks has deployed SoundMark Entertainment's software on 2500 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused SoundMark Entertainment revenue losses of $100,000. Digital Audio Networks is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 14 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement."
299,A,Contract Dispute,"DISPUTE NOTICE — SCOPE OF WORK TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: March 3, 2024 Greenfield Realty Partners hereby provides formal notice of a dispute regarding the scope of work under the Professional Services Contract dated November 1, 2022. Specifically, Sunstone Development LLC has unilaterally performed services outside the agreed Statement of Work (Exhibit A), resulting in unauthorized charges of $75,000. Pursuant to Section 2.9 of the agreement, Greenfield Realty Partners disputes these charges and requests a written justification within 21 days. If the parties cannot resolve this dispute amicably, the matter will be referred to mediation as specified in the contract."
300,A,Contract Dispute,"NOTICE OF FORCE MAJEURE DISPUTE TO: Arbor Investment Holdings FROM: Keystone Financial Services DATE: May 16, 2025 Keystone Financial Services writes to formally contest Arbor Investment Holdings's invocation of the force majeure clause under Section 12.5 of the Supply Agreement dated February 14, 2023. The circumstances cited by Arbor Investment Holdings do not meet the contractual threshold for force majeure relief, as supply chain disruptions of this nature were foreseeable and should have been mitigated. Accordingly, Keystone Financial Services holds Arbor Investment Holdings liable for delivery failures resulting in losses of $50,000. A written response is required within 30 business days, or this matter will be escalated to arbitration."
301,A,Contract Dispute,"DISPUTE NOTICE — SCOPE OF WORK TO: Harmon & Associates Ltd. FROM: SilverBridge Capital LLC DATE: December 2, 2024 SilverBridge Capital LLC hereby provides formal notice of a dispute regarding the scope of work under the Professional Services Contract dated January 15, 2022. Specifically, Harmon & Associates Ltd. has unilaterally performed services outside the agreed Statement of Work (Exhibit A), resulting in unauthorized charges of $100,000. Pursuant to Section 8.6 of the agreement, SilverBridge Capital LLC disputes these charges and requests a written justification within 14 days. If the parties cannot resolve this dispute amicably, the matter will be referred to mediation as specified in the contract."
302,C,Regulatory Compliance,"TELECOMMUNICATIONS LICENCE COMPLIANCE NOTICE TO: Horizon Capital Partners FROM: Securities Enforcement Division DATE: October 14, 2024 Securities Enforcement Division writes to advise that Horizon Capital Partners's network operations are in breach of Licence Condition 11.2 of its telecommunications operating licence, granted under the Bank Secrecy Act (BSA), 31 U.S.C. § 5311. Specifically, Horizon Capital Partners has failed to meet mandatory service availability targets for 45000 consecutive months and has not implemented required network redundancy measures. Horizon Capital Partners must submit a detailed remediation plan and timeline within 14 days. Continued breach beyond that date will result in formal enforcement proceedings, including imposition of financial penalties calculated at 4% of relevant turnover, up to a maximum of $350,000."
303,B,Intellectual Property Claim,"COPYRIGHT INFRINGEMENT NOTICE TO: ContentStream Media FROM: Artisan Copyright Trust DATE: September 5, 2024 This notice is to inform ContentStream Media that certain content published on its platform constitutes infringement of copyrighted works owned by Artisan Copyright Trust, registered under U.S. Copyright Registration No. TXU-1434. The infringing material, identified as 'SecureVault API', reproduces substantial portions of Artisan Copyright Trust's protected work without authorization. Pursuant to 17 U.S.C. § 512, Artisan Copyright Trust demands immediate removal of the infringing content. Artisan Copyright Trust reserves the right to seek statutory damages of up to $200,000 per work infringed, plus attorney's fees, if prompt corrective action is not taken within 14 business days."
304,C,Regulatory Compliance,"TELECOMMUNICATIONS LICENCE COMPLIANCE NOTICE TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: March 3, 2024 Consumer Protection Bureau writes to advise that FastBuy E-Commerce Ltd.'s network operations are in breach of Licence Condition 5.1 of its telecommunications operating licence, granted under the Occupational Safety and Health Act (OSHA). Specifically, FastBuy E-Commerce Ltd. has failed to meet mandatory service availability targets for 45000 consecutive months and has not implemented required network redundancy measures. FastBuy E-Commerce Ltd. must submit a detailed remediation plan and timeline within 14 days. Continued breach beyond that date will result in formal enforcement proceedings, including imposition of financial penalties calculated at 6% of relevant turnover, up to a maximum of $15,000."
